T,gyro_1f_ay
36.493445,179
36.593432,143
36.693489,96
36.793437,184
36.893451,179
36.993464,156
37.09346,188
37.19343,130
37.293449,163
37.393476,193
37.493454,155
37.593969,159
37.693432,195
37.793432,204
37.893434,178
37.993433,164
38.093433,207
38.193456,195
38.293476,183
38.393453,228
38.493445,183
38.593431,182
38.693462,208
38.793462,174
38.89345,152
38.993437,169
39.093419,154
39.193442,227
39.293436,195
39.393449,228
39.493929,207
39.59344,222
39.693444,165
39.793445,176
39.793445,176
39.893446,219
39.993446,185
40.093445,189
40.193455,144
40.293462,202
40.393436,147
40.493457,104
40.593444,181
40.693448,203
40.793435,180
40.893476,154
40.993423,216
41.093458,197
41.193428,186
41.293448,139
41.293448,139
41.393937,139
41.493452,135
41.593426,216
41.693431,150
41.793457,234
41.893462,153
41.993453,135
42.093448,202
42.193458,180
42.293478,201
42.393452,195
42.493443,184
42.59343,166
42.693447,167
42.793487,131
42.893422,165
42.993435,189
43.093461,153
43.193445,126
43.29398,181
43.393478,158
43.493473,205
43.593464,132
43.693468,110
43.793442,163
43.893443,196
43.99343,153
44.093432,169
44.193443,151
44.293462,160
44.393423,213
44.49344,80
44.593427,226
44.693471,155
44.793431,172
44.893432,166
44.993446,198
45.093415,212
45.193927,204
45.293431,164
45.393405,149
45.493409,253
45.593422,206
45.693427,178
45.793414,226
45.893455,168
45.993432,182
46.093415,204
46.193411,209
46.293457,229
46.393409,201
46.493443,114
46.593417,129
46.693421,164
46.793434,89
46.893423,127
46.993436,103
47.093933,89
47.193428,163
47.293435,137
47.393435,107
47.493425,185
47.593399,142
47.69343,145
47.793417,176
47.893431,149
47.993432,122
48.0934,133
48.193397,140
48.293457,72
48.39347,60
48.493448,49
48.593461,6
48.693438,127
48.793412,49
48.893414,67
48.993916,183
49.093396,132
49.193387,143
49.293427,95
49.393401,122
49.493458,137
49.593405,142
49.693383,141
49.793423,147
49.893411,189
49.993397,166
50.093406,160
50.193403,134
50.293396,175
50.393417,65
50.493395,85
50.593394,105
50.693412,94
50.793412,50
50.893929,54
50.993414,46
51.093449,63
51.193427,27
51.293419,50
51.393414,86
51.493418,72
51.593431,111
51.693396,117
51.79341,128
51.89341,126
51.993384,112
52.093406,182
52.193416,124
52.393423,125
52.593374,112
52.693418,87
52.793894,117
52.893393,113
52.99338,165
53.093375,80
53.193385,134
53.493383,103
53.593413,165
53.693418,142
54.993383,135
55.093391,216
55.193401,168
55.293368,168
55.393407,210
55.493412,185
55.593425,169
55.693403,154
55.793416,196
55.893431,225
55.993391,224
56.093413,238
56.193383,175
56.293416,250
56.393416,254
56.493368,174
56.5939,132
56.69338,166
56.79338,157
56.893389,102
56.993402,171
57.093411,230
57.193394,153
57.293408,178
57.393382,259
57.493426,273
57.593399,255
57.69339,235
57.79343,192
57.893391,161
57.993405,186
58.0934,167
58.19341,220
58.293384,128
58.393371,133
58.493878,174
58.593362,183
58.693393,214
58.793407,203
58.893368,126
58.993368,179
59.093377,161
59.193373,181
59.293367,198
59.393393,131
59.493384,96
59.593375,192
59.693393,127
59.793353,198
59.893381,136
59.993368,130
60.093389,104
60.193373,171
60.29334,97
60.393842,98
60.493357,73
60.593331,66
60.693375,134
60.793353,72
60.893367,62
60.993354,90
61.093362,101
61.193373,157
61.293366,138
61.393392,131
61.493344,162
61.593344,212
61.693348,166
61.793335,156
61.893363,170
61.993376,185
62.093358,142
62.193342,214
62.29385,107
62.393335,101
62.493339,195
62.593366,207
62.693317,222
62.793357,219
62.893359,207
62.993372,211
63.093354,218
63.193338,177
63.29337,144
63.393344,143
63.493362,118
63.593374,79
63.693326,106
63.793353,123
63.893367,149
63.993354,58
64.093336,129
64.193835,175
64.293326,223
64.393353,179
64.493318,180
64.593317,165
64.693322,204
64.793335,201
64.89331,169
64.993363,277
65.093358,242
65.193368,138
65.293348,115
65.393375,171
65.493379,179
65.593352,164
65.693344,180
65.79333,212
65.893319,297
65.993345,357
66.093816,355
66.193337,277
66.293357,262
66.393357,275
66.493335,237
66.593348,277
66.693313,251
66.793326,229
66.893327,183
66.993328,214
67.093322,237
67.193333,265
67.293326,254
67.393326,397
67.493357,262
67.593317,399
67.693334,348
67.793321,326
67.893336,242
68.193315,288
68.293309,274
68.393335,328
68.593326,236
68.69337,278
68.79333,293
68.893332,288
68.993332,286
69.093327,334
69.193351,361
69.293317,333
69.39333,315
69.493335,409
69.593282,325
69.693312,441
69.793339,443
69.893816,370
69.993301,448
70.093323,404
70.19332,469
70.293352,470
70.3933,459
70.493304,528
70.593317,515
70.693335,497
70.793308,675
70.893323,570
70.993336,511
71.093279,584
71.193288,470
71.293321,479
71.393322,509
71.493325,430
71.593352,527
71.693304,480
71.793779,531
71.893279,465
71.993305,432
72.093288,436
72.193297,408
72.293304,389
72.393304,352
72.493295,369
72.593295,309
72.693313,350
72.793326,290
72.893314,325
72.993301,297
73.093322,334
73.19328,300
73.293313,278
73.393299,340
73.49333,335
73.593317,375
73.69381,404
73.793295,421
73.89331,494
73.99331,399
74.093305,418
74.193302,437
74.293308,348
74.393295,365
74.493286,331
74.593326,380
74.693317,341
74.793317,325
74.893279,295
74.993305,316
75.093327,246
75.193271,173
75.29329,155
75.393343,188
75.493321,162
75.593797,295
75.693299,255
75.793299,261
75.893288,308
75.993301,335
76.09327,294
76.19328,325
76.293312,325
76.393273,278
76.493277,182
76.593317,236
76.693308,163
76.793282,209
76.893269,215
76.993283,150
77.093278,127
77.193262,93
77.293281,154
77.392527,185
77.493788,196
77.592492,271
77.692496,299
77.792497,331
77.892484,286
77.992524,282
78.092506,358
78.192516,347
78.292496,257
78.392497,238
78.492487,262
78.592474,229
78.692518,263
78.792505,262
78.89248,206
78.992493,205
79.092501,199
79.192512,181
79.292532,185
79.393801,112
79.492483,196
79.592483,137
79.692501,104
79.792487,221
79.892515,131
79.992476,125
80.092471,122
80.192481,208
80.292488,97
80.392474,270
80.492492,244
80.592492,324
80.692456,311
80.792477,264
80.892479,328
80.993286,243
81.092474,280
81.193291,259
81.293786,300
81.392464,297
81.493276,294
81.593289,285
81.69328,292
81.793306,347
81.893268,313
81.993281,284
82.093277,308
82.193274,301
82.293266,273
82.393293,305
82.493284,340
82.593271,399
82.693275,392
82.793289,361
82.893263,393
82.993264,458
83.093299,404
83.193758,459
83.293275,407
83.393262,442
83.49328,377
83.593293,413
83.693271,345
83.793245,271
83.893246,358
83.993273,329
84.093241,354
84.193225,414
84.293284,334
84.393271,327
84.493249,380
84.593262,440
84.693253,428
84.793253,331
84.893268,376
84.993268,392
85.093778,433
85.193273,339
85.29328,348
85.393227,424
85.493244,411
85.593231,446
86.293249,298
86.393249,179
86.49324,223
86.59324,182
86.693244,203
86.793258,258
86.893286,255
86.993761,240
87.093254,259
87.193251,229
87.293245,363
87.393231,291
87.493275,296
87.593276,277
87.693226,361
87.79324,330
87.893255,279
87.993255,338
88.093276,283
88.19326,276
88.293266,248
88.393253,323
88.493271,269
88.593218,270
88.693235,272
88.793222,251
88.893726,359
88.99325,266
89.093232,240
89.193229,294
89.293249,273
89.393262,258
89.493293,258
89.59324,221
89.693231,249
89.793258,202
89.893246,166
89.993246,223
90.093254,175
90.193251,132
90.293218,117
90.393231,149
90.493222,178
90.593235,100
90.693227,189
90.793729,336
90.893241,352
90.993241,386
91.09325,410
91.19322,380
91.29324,373
91.39324,385
91.493231,227
91.593244,295
91.693222,346
91.793235,339
91.89321,346
91.993224,347
92.093258,398
92.193216,402
92.293236,395
92.393222,418
92.4932,420
92.593214,448
92.693733,538
92.793204,505
92.893193,487
92.993233,513
93.093254,483
93.193211,546
93.293244,600
93.393271,625
93.493222,601
93.593236,504
93.693239,464
93.793213,437
93.893202,315
93.993228,274
94.09321,282
94.193247,394
94.293253,298
94.393227,317
94.493271,300
94.593759,266
94.693235,320
94.793249,266
94.893237,240
94.993223,247
95.093206,290
95.193216,297
95.293195,307
95.393222,366
95.493213,322
95.593187,425
95.693218,504
95.793231,500
95.893232,551
95.993193,467
96.093201,449
96.193211,323
96.293231,259
96.393218,238
96.49375,232
96.593209,224
96.693226,246
96.793214,252
96.893241,273
96.993241,316
97.093237,381
97.193246,293
97.2932,393
97.593218,470
97.793195,480
97.99321,410
98.193202,321
98.293196,348
98.393711,303
98.493226,277
98.593187,343
100.993223,237
101.293208,244
101.493187,270
101.593186,242
101.693164,177
101.793191,168
101.893205,233
101.993192,191
102.093188,172
102.193687,187
102.293217,188
102.393191,199
102.493182,202
102.593169,182
102.693173,268
102.793187,211
102.893188,234
102.993188,195
103.093223,258
103.19318,161
103.293187,186
103.39316,225
103.493204,158
103.593178,128
103.693169,212
103.793208,192
103.893197,224
103.99321,193
104.093681,185
104.193176,191
104.293169,209
104.393196,179
104.4932,200
104.593187,188
104.693204,214
104.793191,79
104.893206,152
104.993179,188
105.093214,223
105.193184,181
105.293191,203
105.393191,185
105.493182,149
105.593182,203
105.693186,159
106.593191,139
106.693168,133
106.793182,118
106.89317,152
106.993197,179
107.093192,175
107.193202,189
107.293208,177
107.393195,165
107.4932,172
107.593199,143
107.693177,91
107.793178,142
107.893681,198
107.993179,129
108.093174,200
108.193171,182
108.293151,166
108.393191,147
108.593169,197
108.693186,135
110.893192,122
110.993166,99
111.093187,70
111.29241,129
111.393151,116
111.492401,83
111.593182,100
111.693675,137
111.793173,101
111.892394,151
111.993677,139
112.192373,135
116.09234,48
116.292336,28
116.493142,-17
116.591868,31
116.693146,35
119.791873,41
119.891887,81
119.991861,104
120.093169,123
120.193166,131
120.293178,154
120.391873,180
120.691877,268
120.791864,263
120.89186,298
120.991856,311
121.193382,327
121.291861,339
121.591873,472
121.691851,495
122.493115,773
122.593089,804
122.69186,818
122.791859,835
122.890087,847
122.993095,852
123.091856,852
123.291852,831
123.393596,812
123.593111,742
123.793102,677
123.890096,634
123.990096,596
124.090104,530
