T,gyro_1f_roll[deg]
64.895516,0.3
64.995556,0.3
65.096346,0.3
65.196382,0.3
65.295528,0.3
65.395581,0.2
65.496379,0.2
65.595572,0.2
65.696331,0.2
65.795523,0.3
65.895512,0.3
65.995539,0.4
66.096009,0.5
66.195544,0.5
66.296344,0.6
66.39686,0.7
66.495541,0.7
66.596336,0.8
66.695506,0.9
66.795519,0.9
66.895534,0.9
66.995534,0.8
67.095542,0.7
67.195513,0.6
67.295533,0.5
67.395519,0.5
67.495563,0.4
67.595511,0.4
67.695514,0.4
67.795528,0.5
67.89553,0.6
68.095538,0.8
68.395515,0.8
68.495546,0.9
68.59552,1.0
68.69637,1.1
68.79555,1.2
68.895525,1.4
68.995551,1.5
69.095534,1.6
69.195544,1.7
69.29551,1.7
69.395537,1.8
69.495528,2.0
69.595462,2.1
69.695506,2.2
69.795546,2.3
69.896023,2.3
69.995507,2.4
70.095516,2.4
70.196002,2.3
70.295559,2.3
70.39548,2.2
70.495497,2.0
70.595537,1.9
70.695528,1.8
70.795502,1.8
70.895516,1.8
70.995503,1.8
71.095472,1.8
71.195482,1.9
71.295541,1.9
71.395515,2.0
71.495492,2.0
71.595546,2.1
71.69551,2.2
71.795973,2.2
71.895472,2.3
71.995485,2.4
72.095996,2.5
72.195504,2.6
72.29551,2.8
72.395497,2.8
72.495501,2.8
72.595502,2.8
72.695519,2.6
72.795519,2.5
72.895507,2.4
72.995494,2.3
73.095502,2.3
73.195486,2.2
73.295493,2.2
73.395479,2.2
73.495523,2.2
73.59551,2.3
73.696003,2.4
73.795501,2.6
73.895529,2.8
73.995992,3.0
74.095498,3.2
74.195508,3.2
74.295515,3.2
74.395488,3.1
74.495466,2.9
74.595519,2.8
74.695497,2.8
74.795523,2.8
74.895485,2.8
74.995498,2.8
75.095507,2.7
75.195464,2.5
75.295483,2.3
75.395563,2.2
75.495515,2.2
75.596003,2.2
75.695506,2.2
75.795493,2.3
75.89597,2.3
75.995481,2.4
76.095463,2.5
76.1955,2.6
76.295506,2.6
76.395493,2.6
