T,gyro_1f_ax
58.0934,-52
58.19341,-38
58.293384,-47
58.393371,-69
58.493878,-185
58.593362,-121
58.693393,-108
58.793407,-108
58.893368,-105
58.993368,-95
59.093377,-87
59.193373,-150
59.293367,-140
59.393393,-133
59.493384,-111
59.593375,-144
59.693393,-117
59.793353,-183
59.893381,-163
59.993368,-102
60.093389,-123
60.193373,-216
60.29334,-117
60.393842,-140
60.493357,-145
60.593331,-119
60.693375,-171
60.793353,-107
60.893367,-159
60.993354,-187
61.093362,-171
61.193373,-200
61.293366,-186
61.393392,-186
61.493344,-175
61.593344,-174
61.693348,-202
61.793335,-146
61.893363,-131
61.993376,-159
62.093358,-138
62.193342,-112
62.29385,-113
62.393335,-148
62.493339,-157
62.593366,-74
62.693317,-95
62.793357,-66
62.893359,-58
62.993372,-114
63.093354,-20
63.193338,-49
63.29337,-7
63.393344,-84
63.493362,-44
63.593374,-72
63.693326,-70
63.793353,-112
63.893367,-51
63.993354,-61
64.093336,-109
64.193835,-154
64.293326,-100
64.393353,-144
64.493318,-136
64.593317,-114
64.693322,-117
64.793335,-148
64.89331,-78
64.993363,-82
65.093358,-88
65.193368,-70
65.293348,-87
65.393375,-103
65.493379,-56
65.593352,-98
65.693344,-70
65.79333,-117
65.893319,-158
65.993345,-120
66.093816,-117
66.193337,-88
66.293357,-112
66.393357,-129
66.493335,-99
66.593348,-128
66.693313,-210
66.793326,-267
66.893327,-164
66.993328,-197
67.093322,-197
67.193333,-204
67.293326,-280
67.393326,-308
67.493357,-288
67.593317,-293
67.693334,-284
67.793321,-281
67.893336,-340
68.193315,-310
68.293309,-326
68.393335,-378
68.593326,-333
68.69337,-361
68.79333,-314
68.893332,-257
68.993332,-251
69.093327,-227
69.193351,-253
69.293317,-213
69.39333,-206
69.493335,-213
69.593282,-128
69.693312,-169
69.793339,-132
69.893816,-62
69.993301,-147
70.093323,-52
70.19332,-140
70.293352,-44
70.3933,-64
70.493304,-52
70.593317,-62
70.693335,-41
70.793308,-124
70.893323,-78
70.993336,7
71.093279,-52
71.193288,8
71.293321,-46
71.393322,27
71.493325,-35
71.593352,-30
71.693304,-20
71.793779,-52
71.893279,13
71.993305,35
72.093288,66
72.193297,126
72.293304,99
72.393304,92
72.493295,79
72.593295,136
72.693313,78
72.793326,76
72.893314,-3
72.993301,54
73.093322,76
73.19328,54
73.293313,57
73.393299,45
73.49333,82
73.593317,149
73.69381,82
73.793295,138
73.89331,103
73.99331,179
74.093305,105
74.193302,62
74.293308,99
74.393295,94
74.493286,92
74.593326,100
74.693317,106
74.793317,130
74.893279,147
74.993305,103
75.093327,160
75.193271,125
75.29329,63
75.393343,62
75.493321,48
75.593797,42
75.693299,160
75.793299,126
75.893288,151
75.993301,136
76.09327,137
76.19328,134
76.293312,25
76.393273,114
76.493277,109
76.593317,68
76.693308,58
76.793282,64
76.893269,-20
76.993283,-28
77.093278,34
77.193262,67
77.293281,20
77.392527,-52
77.493788,-5
77.592492,-18
77.692496,27
77.792497,-100
77.892484,-14
77.992524,-15
78.092506,-82
78.192516,-3
78.292496,51
78.392497,51
78.492487,15
78.592474,77
78.692518,41
78.792505,46
78.89248,61
78.992493,79
79.092501,103
79.192512,113
79.292532,121
79.393801,159
79.492483,41
79.592483,147
79.692501,95
79.792487,-10
79.892515,-2
79.992476,5
80.092471,-2
80.192481,-34
80.292488,7
80.392474,-102
80.492492,-77
80.592492,-50
80.692456,-27
80.792477,-33
80.892479,-145
80.993286,-86
81.092474,-94
81.193291,-24
81.293786,-111
81.392464,-124
81.493276,-174
81.593289,-74
81.69328,-83
81.793306,-173
81.893268,-169
81.993281,-106
82.093277,-112
82.193274,-152
82.293266,-143
82.393293,-162
82.493284,-108
82.593271,-160
82.693275,-193
82.793289,-178
82.893263,-143
82.993264,-190
83.093299,-129
83.193758,-213
83.293275,-141
83.393262,-212
83.49328,-126
83.593293,-137
83.693271,-184
83.793245,-142
83.893246,-122
83.993273,-122
84.093241,-197
84.193225,-179
84.293284,-133
84.393271,-101
84.493249,-171
84.593262,-176
84.693253,-164
84.793253,-125
84.893268,-167
84.993268,-160
85.093778,-155
85.193273,-82
85.29328,-113
85.393227,-100
85.493244,-107
85.593231,-90
86.293249,-174
86.393249,-145
86.49324,-194
86.59324,-188
86.693244,-216
86.793258,-239
86.893286,-264
86.993761,-217
87.093254,-286
87.193251,-284
87.293245,-298
87.393231,-302
87.493275,-321
87.593276,-297
87.693226,-368
87.79324,-346
87.893255,-302
87.993255,-368
88.093276,-362
88.19326,-340
88.293266,-321
88.393253,-367
88.493271,-327
88.593218,-313
88.693235,-280
88.793222,-276
88.893726,-291
88.99325,-256
89.093232,-216
89.193229,-245
89.293249,-210
89.393262,-208
89.493293,-157
89.59324,-143
89.693231,-144
89.793258,-110
89.893246,-86
89.993246,-119
90.093254,-106
90.193251,-73
90.293218,-93
90.393231,-65
90.493222,-90
90.593235,-55
90.693227,-54
90.793729,-96
90.893241,-51
90.993241,-56
91.09325,-52
91.19322,-46
91.29324,-44
91.39324,-32
91.493231,-38
91.593244,-80
91.693222,-96
91.793235,-72
91.89321,-123
91.993224,-142
92.093258,-142
92.193216,-133
92.293236,-137
92.393222,-142
92.4932,-235
92.593214,-200
92.693733,-314
92.793204,-343
92.893193,-311
92.993233,-356
93.093254,-359
93.193211,-429
93.293244,-577
93.393271,-621
93.493222,-588
93.593236,-510
93.693239,-341
93.793213,-223
93.893202,-86
93.993228,12
94.09321,16
94.193247,0
94.293253,39
94.393227,23
94.493271,56
94.593759,3
94.693235,-23
94.793249,-7
94.893237,-59
94.993223,-72
95.093206,-152
95.193216,-114
95.293195,-195
95.393222,-262
95.493213,-272
95.593187,-377
95.693218,-526
95.793231,-636
95.893232,-556
95.993193,-423
96.093201,-356
96.193211,-261
96.293231,-175
96.393218,-94
96.49375,-74
96.593209,-82
96.693226,-18
96.793214,-84
96.893241,-48
96.993241,-141
97.093237,-115
97.193246,-174
97.2932,-235
97.593218,-644
97.793195,-537
97.99321,-321
98.193202,-204
98.293196,-193
98.393711,-119
98.493226,-178
98.593187,-172
100.993223,-318
101.293208,-370
101.493187,-353
101.593186,-289
101.693164,-411
101.793191,-356
