T,gyro_5f_wz[dps]
31.580158,0.2
31.680054,0.1
31.780005,-0.1
31.88005,0.1
31.980013,0.5
32.079932,0.5
32.180234,0.7
32.280083,0.3
32.380161,-0.2
32.480153,0.1
32.580154,0.0
32.680098,0.0
32.780061,0.3
32.879872,1.2
32.980034,0.6
33.07998,-0.4
33.180054,-1.4
33.279922,-1.3
33.380148,-1.8
33.480149,-1.1
33.58015,-0.3
33.680143,0.0
33.780188,-0.1
33.880031,-0.3
33.980099,-1.0
34.080019,-1.0
34.17992,-0.4
34.280028,0.1
34.380043,0.8
34.480141,1.0
34.580143,0.2
34.68013,0.4
34.780052,-0.3
34.879911,-1.1
34.979987,-1.0
35.080008,-0.9
35.180086,-0.5
35.280091,0.1
35.379982,-1.2
35.480124,-1.4
35.58013,-1.5
35.680131,-1.0
35.780188,-0.4
35.879913,0.0
35.980147,0.2
36.080046,-0.6
36.17993,0.0
36.280064,0.2
36.380214,0.7
36.480129,0.8
36.580135,0.1
36.680127,-0.1
36.78004,0.0
36.880048,0.4
36.980086,0.5
37.080032,0.0
37.180052,0.0
37.280089,-0.1
37.379948,0.2
37.480119,0.9
37.580125,0.8
37.680117,1.0
37.780119,0.6
37.879949,0.3
37.979938,0.4
38.079898,0.7
38.180028,0.7
38.280169,0.6
38.379929,1.2
38.479984,0.8
38.580112,0.6
38.680118,0.4
38.780124,0.2
38.880057,0.6
38.980024,0.8
39.07993,1.1
39.180044,1.1
39.280067,0.4
39.380038,-0.1
39.48007,0.1
39.580117,0.0
39.680114,0.0
39.780115,0.0
39.879966,-0.2
39.979986,-0.3
40.079931,-0.1
40.179944,0.1
40.280039,0.0
40.380054,-0.1
40.480018,0.0
40.580103,0.0
40.680104,-0.1
40.780101,-0.7
40.880153,0.1
40.979955,0.8
41.080106,0.9
41.179992,0.5
41.28006,0.0
41.380022,0.3
41.479979,-0.1
41.580095,0.0
41.680096,0.5
41.780097,0.4
41.879903,0.7
41.979926,0.5
42.080104,0.0
42.180125,-0.2
42.279926,0.2
42.380127,0.3
42.480103,0.1
42.580082,0.3
42.680088,0.4
42.780089,0.8
42.880084,0.5
42.980013,0.0
43.079914,0.0
43.180041,0.0
43.280011,0.0
43.380061,0.1
43.479942,-0.1
43.57993,0.1
43.680093,0.0
43.780081,-0.1
43.880076,0.0
43.980035,0.1
44.08022,0.1
44.180152,0.3
44.280123,0.5
44.380146,0.2
44.480173,0.8
44.579986,0.6
44.680089,0.8
44.780073,0.7
44.880134,1.2
44.980104,1.1
45.080146,1.5
45.180117,1.3
45.279979,1.0
45.379994,0.9
45.480016,0.8
45.580005,0.8
45.680067,0.4
45.780064,0.2
45.880077,-0.1
45.979921,-0.2
46.079969,-0.3
46.180003,-0.1
46.27998,-0.2
46.379902,0.0
46.479939,-0.2
46.579941,-0.4
46.680064,-0.2
46.780069,-0.3
46.880069,-0.3
46.980091,0.0
47.079992,-0.1
47.180083,-0.1
47.280115,0.1
47.38004,-0.2
47.479997,-0.4
47.580067,0.0
47.680056,-0.3
47.780057,-0.2
47.880065,-0.5
47.980057,-0.2
48.080099,-0.3
48.180153,-0.5
48.280048,-0.1
48.380003,-0.1
48.480087,0.0
48.58,0.0
48.680107,0.2
48.780053,0.4
48.880057,0.4
48.980058,0.1
49.079959,0.2
49.180229,0.4
49.280218,0.3
49.380062,0.1
49.480077,0.3
49.580008,0.3
49.680006,0.2
49.780049,0.3
49.879948,0.0
49.980107,0.2
50.080093,0.2
50.18012,-0.1
50.280078,-0.2
50.380195,0.0
50.479954,0.0
50.580092,0.0
50.680103,0.2
50.780042,0.5
50.880037,0.0
50.980038,0.0
51.080127,0.1
51.180228,0.0
51.280132,0.0
51.380199,0.0
51.480121,0.3
51.580136,0.2
51.679996,0.1
51.780043,-0.1
51.880029,0.0
51.98003,0.1
52.080029,0.0
52.179931,-0.1
52.280105,-0.1
52.480149,-0.2
52.580053,-0.3
52.679952,-0.4
52.779976,-0.3
52.980035,0.0
53.080029,-0.7
53.27998,-0.3
53.680137,0.1
55.080008,0.2
55.180012,0.1
55.279983,0.0
55.380111,0.1
55.480086,0.0
55.580063,-0.1
55.68006,-0.2
55.780103,-0.3
55.879958,-0.4
55.98001,-0.2
56.080009,-0.3
56.179999,-0.4
56.280094,0.0
56.380039,-0.4
56.480121,-0.1
56.579922,-0.3
56.679937,-0.5
56.780044,-0.5
56.880184,-0.4
56.980992,-0.2
57.080001,-0.8
57.179995,-0.4
57.280175,-0.3
57.380059,-0.4
57.480066,-0.3
57.580139,0.0
57.6801,-0.1
57.780036,0.0
57.880087,0.0
57.980992,-0.2
58.079997,-0.2
58.18,0.0
58.280235,0.0
58.380165,0.4
58.480142,0.4
58.580158,0.2
58.680981,0.0
58.780028,0.1
58.879953,0.0
58.979993,0.0
59.079987,0.1
59.17999,-0.1
59.280104,-0.1
59.380107,-0.1
59.480034,-0.2
59.579921,-0.2
59.680981,-0.4
59.780075,0.2
59.879952,0.0
59.979985,0.0
60.079983,0.3
60.179987,0.4
60.279979,0.0
60.380119,0.0
60.480026,0.0
60.579996,0.0
60.679993,0.2
60.779919,0.2
60.880096,0.5
60.980083,0.1
61.07998,0.2
61.17997,-0.3
61.279975,-0.7
61.380076,-1.1
61.480081,-0.8
61.580074,-0.7
61.680015,-0.3
61.780025,0.0
61.88005,0.1
61.980092,0.5
62.079967,0.4
62.17997,0.5
62.279971,0.4
62.3801,0.5
62.479971,0.7
62.579965,0.7
62.680059,0.2
62.780083,-0.2
62.880063,0.0
62.980967,0.0
63.080951,-0.2
63.17996,0.0
63.279953,-0.5
63.379954,-0.5
63.479961,-0.8
63.580021,-0.9
63.680045,-0.7
63.779977,0.0
63.880034,-0.3
63.980115,0.0
64.080087,0.0
64.179961,0.3
64.279958,0.6
64.37995,0.6
64.480039,1.0
64.580072,0.9
64.680074,1.0
64.780964,1.0
64.880107,0.6
64.980121,0.2
65.080076,-0.2
65.179957,0.0
65.279945,-0.2
65.37995,-0.4
65.480144,-0.2
65.580976,0.3
65.680961,0.2
65.78099,0.3
65.880106,0.3
65.980062,0.5
66.080127,0.7
66.179944,0.5
66.279937,0.4
66.379938,0.2
66.480072,0.6
