T,gyro_1f_az
49.993397,315
50.093406,480
50.193403,721
50.293396,810
50.393417,702
50.493395,483
50.593394,397
50.693412,594
50.793412,147
50.893929,339
50.993414,491
51.093449,430
51.193427,595
51.293419,607
51.393414,488
51.493418,498
51.593431,753
51.693396,534
51.79341,596
51.89341,589
51.993384,296
52.093406,532
52.193416,657
52.393423,203
52.593374,457
52.693418,433
52.793894,758
52.893393,414
52.99338,586
53.093375,599
53.193385,764
53.493383,490
53.593413,319
53.693418,474
54.993383,443
55.093391,562
55.193401,332
55.293368,594
55.393407,514
55.493412,444
55.593425,859
55.693403,561
55.793416,355
55.893431,616
55.993391,464
56.093413,563
56.193383,698
56.293416,278
56.393416,718
56.493368,730
56.5939,427
56.69338,636
56.79338,656
56.893389,791
56.993402,704
57.093411,718
57.193394,494
57.293408,706
57.393382,434
57.493426,865
57.593399,576
57.69339,349
57.79343,574
57.893391,348
57.993405,633
58.0934,440
58.19341,543
58.293384,594
58.393371,729
58.493878,739
58.593362,459
58.693393,345
58.793407,607
58.893368,584
58.993368,658
59.093377,665
59.193373,653
59.293367,557
59.393393,712
59.493384,368
59.593375,567
59.693393,556
59.793353,675
59.893381,540
59.993368,624
60.093389,851
60.193373,725
60.29334,587
60.393842,534
60.493357,490
60.593331,553
60.693375,612
60.793353,453
60.893367,665
60.993354,561
61.093362,619
61.193373,694
61.293366,721
61.393392,663
61.493344,585
61.593344,641
61.693348,740
61.793335,575
61.893363,659
61.993376,464
62.093358,457
62.193342,408
62.29385,387
62.393335,647
62.493339,586
62.593366,503
62.693317,595
62.793357,339
62.893359,320
62.993372,594
63.093354,535
63.193338,736
63.29337,653
63.393344,773
63.493362,624
63.593374,460
63.693326,539
63.793353,758
63.893367,454
63.993354,345
64.093336,563
64.193835,584
64.293326,728
64.393353,569
64.493318,562
64.593317,485
64.693322,510
64.793335,511
64.89331,431
64.993363,374
65.093358,305
65.193368,564
65.293348,507
65.393375,511
65.493379,455
65.593352,438
65.693344,451
65.79333,559
65.893319,740
65.993345,432
66.093816,709
66.193337,560
66.293357,701
66.393357,802
66.493335,654
66.593348,572
66.693313,872
66.793326,865
66.893327,576
66.993328,500
67.093322,488
67.193333,386
67.293326,654
67.393326,654
67.493357,653
67.593317,513
67.693334,668
67.793321,614
67.893336,725
68.193315,727
68.293309,573
68.393335,981
68.593326,609
68.69337,581
68.79333,760
68.893332,563
68.993332,623
69.093327,676
69.193351,690
69.293317,807
69.39333,592
69.493335,729
69.593282,170
69.693312,694
69.793339,576
69.893816,590
69.993301,691
70.093323,511
70.19332,805
70.293352,520
70.3933,240
70.493304,578
70.593317,768
70.693335,404
70.793308,832
70.893323,767
70.993336,424
71.093279,910
71.193288,491
71.293321,579
71.393322,541
71.493325,586
71.593352,832
71.693304,536
71.793779,735
71.893279,819
71.993305,615
72.093288,868
72.193297,549
72.293304,895
72.393304,628
72.493295,825
72.593295,594
72.693313,446
72.793326,621
72.893314,714
72.993301,684
73.093322,728
73.19328,844
73.293313,639
73.393299,408
73.49333,695
73.593317,662
73.69381,745
73.793295,499
73.89331,893
73.99331,687
74.093305,795
74.193302,791
74.293308,646
74.393295,731
74.493286,773
74.593326,821
74.693317,684
74.793317,784
74.893279,472
74.993305,880
75.093327,667
75.193271,536
75.29329,615
75.393343,671
75.493321,825
75.593797,690
75.693299,602
75.793299,876
75.893288,595
75.993301,634
76.09327,436
76.19328,605
76.293312,830
76.393273,787
76.493277,615
76.593317,1015
76.693308,822
76.793282,509
76.893269,972
76.993283,622
77.093278,623
77.193262,681
77.293281,578
77.392527,921
77.493788,794
77.592492,674
77.692496,325
77.792497,1003
77.892484,641
77.992524,686
78.092506,1049
78.192516,522
78.292496,463
78.392497,611
78.492487,647
78.592474,673
78.692518,786
78.792505,703
78.89248,601
78.992493,748
79.092501,699
79.192512,551
79.292532,837
79.393801,571
79.492483,918
79.592483,624
79.692501,595
79.792487,1148
79.892515,847
79.992476,758
80.092471,836
80.192481,999
80.292488,657
80.392474,1130
80.492492,959
80.592492,656
80.692456,852
80.792477,729
80.892479,1065
80.993286,700
81.092474,594
81.193291,531
81.293786,926
81.392464,913
81.493276,1043
81.593289,697
81.69328,882
81.793306,860
81.893268,1097
81.993281,819
82.093277,1001
82.193274,989
82.293266,841
82.393293,934
82.493284,511
82.593271,885
82.693275,801
82.793289,1039
82.893263,843
82.993264,947
83.093299,830
83.193758,1211
83.293275,744
83.393262,1112
83.49328,1161
83.593293,1145
83.693271,887
83.793245,1166
83.893246,751
83.993273,1014
84.093241,922
84.193225,727
84.293284,886
84.393271,982
84.493249,938
84.593262,1088
84.693253,1127
84.793253,873
84.893268,945
84.993268,1054
85.093778,997
85.193273,800
85.29328,951
85.393227,931
85.493244,877
85.593231,1041
86.293249,948
86.393249,1182
86.49324,1185
86.59324,947
86.693244,1271
86.793258,1035
86.893286,1130
86.993761,1064
87.093254,1115
87.193251,905
87.293245,1025
87.393231,950
